Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Training_Time_Seconds
random_forest,0.8726861973473254,0.828699162453784,0.9690946792552723,0.8934149515984706,0.9743101803272433,0.27771
xgboost,0.8792571539620074,0.8452713117792824,0.955638401129445,0.897072983858443,0.9734936936738202,0.307052
logistic_regression,0.8172278093572366,0.7606734609557912,0.9747198447013148,0.8544962289692516,0.9186097792621881,2.452257
gradient_boosting,0.8525239275129962,0.7981923381010566,0.9799038207006089,0.879763130792997,0.9728973417739633,3.749649
